# Race: Unknown
# Tenant: kullamannen
# Year: 2025
# Race URI: 10675.kullamannenbyutmbultra100miles.2025
# Total Finishers: 650
# Scraped: 2025-12-04T15:51:57.294562
rank_scratch,name,race_time,race_time_seconds,country,country_code,age_group,sex,utmb_index,utmb_score,runner_uri,utmb_profile_url
,Karolina ENGRUND,,,Sweden,SE,40-44,F,,,6770629.karolina.engrund,https://utmb.world/runner/6770629.karolina.engrund
,Pernilla HANSSON,,,Sweden,SE,55-59,F,,,4682480.pernilla.hansson,https://utmb.world/runner/4682480.pernilla.hansson
,Ingemar Inko PERA,,,Sweden,SE,60-64,H,,,3293847.ingemarinko.pera,https://utmb.world/runner/3293847.ingemarinko.pera
,Oskar SVÄRD,,,Sweden,SE,45-49,H,,,3277761.oskar.svard,https://utmb.world/runner/3277761.oskar.svard
,Espen SKAUFEL,,,Norway,NO,40-44,H,,,532550.espen.skaufel,https://utmb.world/runner/532550.espen.skaufel
,Jonas HOLMBERG,,,Sweden,SE,50-54,H,,,5066165.jonas.holmberg,https://utmb.world/runner/5066165.jonas.holmberg
,Aurélien TACONNE,,,France,FR,20-34,H,,,6770783.aurelien.taconne,https://utmb.world/runner/6770783.aurelien.taconne
,Madeleine WAERMÖ,,,Sweden,SE,40-44,F,,,6460510.madeleine.waermo,https://utmb.world/runner/6460510.madeleine.waermo
,Johan LILIEQUIST,,,Sweden,SE,50-54,H,,,2269231.johan.liliequist,https://utmb.world/runner/2269231.johan.liliequist
,Mads WARNECKE,,,Denmark,DK,45-49,H,,,5070729.mads.warnecke,https://utmb.world/runner/5070729.mads.warnecke
,Guillaume BEVILLARD,,,France,FR,40-44,H,,,3240241.guillaume.bevillard,https://utmb.world/runner/3240241.guillaume.bevillard
,Ruben VLAANDER,,,Netherlands,NL,40-44,H,,,317111.ruben.vlaander,https://utmb.world/runner/317111.ruben.vlaander
,Annika WIGREN,,,Sweden,SE,45-49,F,,,4823040.annika.wigren,https://utmb.world/runner/4823040.annika.wigren
,Christopher BIRGER,,,Sweden,SE,40-44,H,,,2194173.christopher.birger,https://utmb.world/runner/2194173.christopher.birger
,Anders AHLGREN,,,Sweden,SE,60-64,H,,,986679.anders.ahlgren,https://utmb.world/runner/986679.anders.ahlgren
,Ingo KRUCK,,,Germany,DE,55-59,H,,,5524124.ingo.kruck,https://utmb.world/runner/5524124.ingo.kruck
,Emelie EKLÖF,,,Sweden,SE,40-44,F,,,4135487.emelie.eklof,https://utmb.world/runner/4135487.emelie.eklof
,Martin KOLSTAD,,,Norway,NO,20-34,H,,,3256331.martin.kolstad,https://utmb.world/runner/3256331.martin.kolstad
,Carlos RIVAS,,,Spain,ES,35-39,H,,,5530399.carlos.rivas,https://utmb.world/runner/5530399.carlos.rivas
,Nicklas LINDQVIST,,,Sweden,SE,45-49,H,,,3377935.nicklas.lindqvist,https://utmb.world/runner/3377935.nicklas.lindqvist
,Valentin TABOR,,,Denmark,DK,45-49,H,,,5173943.valentin.tabor,https://utmb.world/runner/5173943.valentin.tabor
,Manuel CELOIU,,,France,FR,50-54,H,,,480703.manuel.celoiu,https://utmb.world/runner/480703.manuel.celoiu
,Erwin ROTH,,,Austria,AT,50-54,H,,,2969337.erwin.roth,https://utmb.world/runner/2969337.erwin.roth
,Nils HAMMARLUND,,,Sweden,SE,20-34,H,,,5119204.nils.hammarlund,https://utmb.world/runner/5119204.nils.hammarlund
,Patric LAGER,,,United States of America,US,55-59,H,,,4301462.patric.lager,https://utmb.world/runner/4301462.patric.lager
,Roger LINDBERG,,,Sweden,SE,50-54,H,,,6460948.roger.lindberg,https://utmb.world/runner/6460948.roger.lindberg
,Anna WESTLUND,,,Sweden,SE,45-49,F,,,4692478.anna.westlund,https://utmb.world/runner/4692478.anna.westlund
,Fredrik BERGSTRÖM,,,Sweden,SE,40-44,H,,,4110086.fredrik.bergstrom,https://utmb.world/runner/4110086.fredrik.bergstrom
,Ted HELMESJÖ,,,Sweden,SE,35-39,H,,,4379258.ted.helmesjo,https://utmb.world/runner/4379258.ted.helmesjo
,Daniel HÖRNQVIST,,,Sweden,SE,40-44,H,,,5667718.daniel.hornqvist,https://utmb.world/runner/5667718.daniel.hornqvist
